"ddg.type","ddg.num","ddg.name","ddg.value","ddg.val.type","ddg.scope","ddg.from.env","ddg.time","ddg.hash","ddg.loc"
"Snapshot",1,"species","data/1-species.txt","{""container"":""vector"", ""dimension"":[4], ""type"":[""character""]}","R_GlobalEnv",FALSE,"2021-06-12T12.48.19CEST","",""
"Device",2,"dev.2","","Device","undefined",FALSE,"","",""
"Device",3,"dev.2","","Device","undefined",FALSE,"","",""
"Device",4,"dev.2","","Device","undefined",FALSE,"","",""
"Snapshot",5,"occs","data/5-occs.csv","{""container"":""data_frame"", ""dimension"":[104,3], ""type"":[""character"",""numeric"",""numeric""]}","R_GlobalEnv",FALSE,"2021-06-12T12.48.20CEST","",""
"Data",6,"test_folder","""~/modleR_test""","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","R_GlobalEnv",FALSE,"","",""
"File",7,"package.rds","data/7-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-10T13.49.32CEST","790ee105d741b93c0c616d035f814f44","C:/Program Files/R/R-4.0.3/library/base/Meta/package.rds"
"File",8,"package.rds","data/8-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-06-03T13.41.55CEST","6890dd8b9829181944bb51bd6efb2cf1","C:/Users/danie/Documents/R/win-library/4.0/jsonld/Meta/package.rds"
"File",9,"package.rds","data/9-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.09CEST","510935025c2d89a178c1c308a8a2fbcf","C:/Users/danie/Documents/R/win-library/4.0/Rcpp/Meta/package.rds"
"File",10,"package.rds","data/10-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-10T13.51.20CEST","51f85daae56d7820871021cee81cb74e","C:/Program Files/R/R-4.0.3/library/lattice/Meta/package.rds"
"File",11,"package.rds","data/11-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.43.15CEST","e7ef5d0d478466c0b5506fe7cba6ea96","C:/Users/danie/Documents/R/win-library/4.0/tidyr/Meta/package.rds"
"File",12,"package.rds","data/12-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-06-03T13.41.55CEST","ec300e0a6ae04e064b5eeb019ad88fc4","C:/Users/danie/Documents/R/win-library/4.0/rdflib/Meta/package.rds"
"File",13,"package.rds","data/13-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.09CEST","40db7349b707d2420c61f78b91e7f9db","C:/Users/danie/Documents/R/win-library/4.0/prettyunits/Meta/package.rds"
"File",14,"package.rds","data/14-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.10CEST","ad5e111f706c6bf9caf8084f0156b559","C:/Users/danie/Documents/R/win-library/4.0/ps/Meta/package.rds"
"File",15,"package.rds","data/15-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.41.44CEST","d942b3875251b94173cf95e4c1d859c3","C:/Users/danie/Documents/R/win-library/4.0/gtools/Meta/package.rds"
"File",16,"package.rds","data/16-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.08CEST","3c5b659dc4baf22bf4154947e842be1a","C:/Users/danie/Documents/R/win-library/4.0/rprojroot/Meta/package.rds"
"File",17,"package.rds","data/17-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.07CEST","773ecd30d599b824815adb35ca0cad86","C:/Users/danie/Documents/R/win-library/4.0/utf8/Meta/package.rds"
"File",18,"package.rds","data/18-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-06-03T13.41.55CEST","8627ed48afa2c4d336a2f98b65e6c657","C:/Users/danie/Documents/R/win-library/4.0/V8/Meta/package.rds"
"File",19,"package.rds","data/19-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T16.06.47CEST","6ba5b09291ba6c6e0edea6063e0491c0","C:/Users/danie/Documents/R/win-library/4.0/kuenm/Meta/package.rds"
"File",20,"package.rds","data/20-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.08CEST","77ab08469a57e0ef92abc7ca819ab279","C:/Users/danie/Documents/R/win-library/4.0/R6/Meta/package.rds"
"File",21,"package.rds","data/21-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.41.43CEST","cfc5af5dd0b864cfaaa39fcd998cc536","C:/Users/danie/Documents/R/win-library/4.0/ggplot2/Meta/package.rds"
"File",22,"package.rds","data/22-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.07CEST","df800617f4da3866c535f47f94ed5218","C:/Users/danie/Documents/R/win-library/4.0/pillar/Meta/package.rds"
"File",23,"package.rds","data/23-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.43.16CEST","e0e7e3dec134eb2e81af5971967085c0","C:/Users/danie/Documents/R/win-library/4.0/Rdpack/Meta/package.rds"
"File",24,"package.rds","data/24-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2020-10-10T13.49.32CEST","533a9f19fa940939521c44e90a7756e1","C:/Program Files/R/R-4.0.3/library/utils/Meta/package.rds"
"File",25,"package.rds","data/25-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.11CEST","23cf8cad11db8fcf492b2cfe0dc38b2d","C:/Users/danie/Documents/R/win-library/4.0/rlang/Meta/package.rds"
"File",26,"package.rds","data/26-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.08CEST","a8c41ad6a997680ecd8ca0ecb576506e","C:/Users/danie/Documents/R/win-library/4.0/curl/Meta/package.rds"
"File",27,"package.rds","data/27-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.10CEST","b701ad24d6ec73260671ce6e468b34b4","C:/Users/danie/Documents/R/win-library/4.0/callr/Meta/package.rds"
"File",28,"package.rds","data/28-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.41.46CEST","99b4c67761ab49f6e854b7b6ac2b0cc8","C:/Users/danie/Documents/R/win-library/4.0/raster/Meta/package.rds"
"File",29,"package.rds","data/29-package.rds","{""container"":""vector"", ""dimension"":[1], ""type"":[""character""]}","undefined",FALSE,"2021-05-28T13.39.10CEST","5061319b4011e338b41fc234cde76270","C:/Users/danie/Documents/R/win-library/4.0/desc/Meta/package.rds"
